"","clusterID","时代shí_dài","时期shí_jī","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,22,0,4,3,15,1,0.516528925619835,22
"2",2,16,18,5,24,5,0.501730103806228,0.541522491349481,34
"3",3,86,81,48,61,58,0.500448205385636,0.336656029258848,167
"4",4,0,18,0,17,1,1,0.895061728395062,18
"5",5,23,32,12,35,8,0.513388429752066,0.473719008264463,55
"6",6,0,14,0,7,7,1,0.5,14
"7",7,81,30,46,27,38,0.605551497443389,0.348104861618375,111
"8",8,0,11,2,1,8,1,0.570247933884298,11
"9",9,32,36,11,28,29,0.501730103806228,0.377595155709343,68
