"","clusterID","形势xíng_shì","情况qíng_kuànɡ","情势qíng_shì","情形qíng_xíng","状况zhuànɡ_kuànɡ","状态zhuànɡ_tài","势头shì_tóu","局面jú_miàn","现状xiàn_zhuànɡ","局势jú_shì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,2,59,1,4,1,1,0,0,0,0,18,26,24,0.5797,1.087,68
"2",2,0,10,0,1,7,0,1,4,0,0,5,12,6,1.301,1.0217,23
"3",3,1,58,0,19,13,0,1,0,1,0,32,45,16,1.0402,1.0212,93
"4",4,1,12,0,0,8,3,1,0,0,0,5,9,11,1.2289,1.0509,25
"5",5,2,2,1,0,0,0,0,0,0,22,3,18,6,0.6745,0.8487,27
"6",6,19,4,3,0,3,1,9,2,2,6,9,30,10,1.8229,0.936,49
"7",7,0,8,0,1,0,0,0,0,0,0,1,4,4,0.3488,0.965,9
"8",8,0,15,0,2,7,1,0,1,0,0,9,6,11,1.1185,1.0695,26
"9",9,12,54,9,16,17,38,6,17,8,3,53,69,58,2.0007,1.0925,180
