"","clusterID","亲戚qīn_cù","家人ɡū_rén","家属ɡū_shǔ","亲人qīn_rén","亲属qīn_shǔ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,4,9,1,0,0,1,5,8,0.5,0.459183673469388,14
"2",2,9,143,10,23,4,34,33,122,0.592788555751519,0.47952184989222,189
"3",3,0,11,21,0,1,8,6,19,0.516988062442608,0.423324150596878,33
"4",4,0,9,13,0,3,12,9,4,0.4144,0.3856,25
"5",5,1,4,67,7,12,42,26,23,0.567443545465524,0.358531578311798,91
"6",6,8,31,29,20,4,38,26,28,0.26961247637051,0.343100189035917,92
"7",7,0,7,6,1,0,5,7,2,0.438775510204082,0.397959183673469,14
"8",8,0,10,12,0,1,6,2,15,0.463137996219282,0.500945179584121,23
"9",9,0,0,17,1,1,7,0,12,0.806094182825485,0.534626038781163,19
