"","clusterID","住宅zhù_chè","住房zhù_fánɡ","房屋fánɡ_wū","住家zhù_ɡū","房子fánɡ_zǐ","屋子wū_zǐ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,5,9,18,0,0,0,10,9,13,0.9705,1.0862,32
"2",2,8,0,4,0,0,0,1,0,11,0.6365,0.2868,12
"3",3,6,3,21,2,4,0,17,10,9,1.2248,1.0567,36
"4",4,25,9,24,0,6,0,20,29,15,1.2328,1.0622,64
"5",5,40,45,18,1,3,1,15,66,27,1.2175,0.9217,108
"6",6,3,1,33,1,2,0,12,20,8,0.6872,1.0297,40
"7",7,22,3,8,35,6,4,29,6,43,1.4251,0.8935,78
"8",8,0,0,1,0,9,3,2,3,8,0.7903,0.9251,13
"9",9,3,1,3,45,38,27,11,10,96,1.2997,0.5948,117
