"","clusterID","原料yuán_liáo","成份chénɡ_bīn","成分chénɡ_bàn","材料cái_liáo","用料yòng_liáo","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,5,12,1,0,7,6,6,0.9515,1.0959,19
"2",2,4,19,45,1,0,20,27,22,0.8603,1.0906,69
"3",3,54,0,1,26,1,31,41,10,0.7468,0.9709,82
"4",4,1,0,1,39,1,6,27,9,0.3358,0.8921,42
"5",5,0,13,0,0,0,0,13,0,0,0,13
"6",6,0,0,0,32,0,0,29,3,0,0.3111,32
"7",7,10,7,22,43,8,17,37,36,1.3552,1.0468,90
"8",8,0,0,0,15,0,2,8,5,0,0.9701,15
"9",9,24,5,15,91,3,19,69,50,1.0234,0.9874,138
