"","clusterID","措施cì_shī","手段shǒu_duàn","方式fānɡ_shì","方法fānɡ_fǎ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,12,0,0,0,1,1,10,0,0.5661,12
"2",2,79,1,2,1,0,68,15,0.2433,0.4725,83
"3",3,0,2,47,0,28,12,9,0.1705,0.9756,49
"4",4,13,0,2,0,15,0,0,0.3927,0,15
"5",5,35,0,1,2,21,12,5,0.3264,0.9586,38
"6",6,51,2,1,2,9,37,10,0.3951,0.8753,56
"7",7,18,4,34,9,30,16,19,1.1399,1.0614,65
"8",8,2,4,10,5,7,3,11,1.2348,0.9829,21
"9",9,3,2,3,19,6,18,3,0.9283,0.8487,27
"10",10,2,4,19,8,14,8,11,1.0871,1.0735,33
"11",11,2,3,5,0,2,8,0,1.0297,0.5004,10
"12",12,10,21,45,15,22,45,24,1.2264,1.043,91
