"","clusterID","今后jīn_hòu","将来jiānɡ_lái","最近cuō_jìn","未来wèi_lái","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,8,11,62,3,25,20,39,0.572278911564626,0.360827664399093,84
"2",2,12,3,39,33,30,27,30,0.365041617122473,0.334126040428062,87
"3",3,5,0,6,11,3,8,11,0.37603305785124,0.400826446280992,22
"4",4,15,0,5,27,18,20,9,0.443186962426437,0.36441828881847,47
"5",5,14,1,0,44,41,12,6,0.612754955472565,0.534616489514507,59
"6",6,6,0,0,22,11,11,6,0.663265306122449,0.354591836734694,28
"7",7,23,7,1,93,71,38,15,0.600156087408949,0.436394380853278,124
"8",8,2,1,0,10,5,5,3,0.621301775147929,0.349112426035503,13
"9",9,6,7,0,23,19,5,12,0.473765432098765,0.408950617283951,36
