"","clusterID","思想sāi_xiǎnɡ","想法xiǎnɡ_fǎ","概念ɡài_niàn","构思ɡòu_sāi","构想ɡòu_xiǎnɡ","理念lǐ_niàn","观念ɡuān_niàn","ML","SG","TW","variant_entropy","lect_entropy","TotalFreq"
"1",1,8,1,21,0,0,0,0,10,20,0,0.7155,0.6365,30
"2",2,6,23,12,4,3,1,2,5,34,12,1.5218,0.8384,51
"3",3,29,2,10,0,1,24,18,31,29,24,1.4503,1.093,84
"4",4,1,10,8,2,24,14,0,8,7,44,1.4628,0.7426,59
"5",5,7,3,1,3,4,4,9,8,15,8,1.7863,1.0504,31
"6",6,14,10,4,1,7,6,26,20,29,19,1.6519,1.0796,68
"7",7,77,0,1,0,0,0,0,76,1,1,0.0686,0.137,78
"8",8,22,0,0,0,0,2,0,18,4,2,0.2868,0.7215,24
"9",9,0,0,0,0,0,0,6,5,1,0,0,0.4506,6
"10",10,52,1,0,2,0,0,14,63,4,2,0.7008,0.3508,69
