"","clusterID","政党zhēnɡ_dǎnɡ","党派dǎnɡ_bài","TW","SG","ML","variant_I","lect_I","TotalFreq"
"1",1,42,0,38,4,0,1,0.827664399092971,42
"2",2,32,2,33,1,0,0.889273356401384,0.942906574394464,34
"3",3,62,1,47,11,5,0.968757873519778,0.593348450491308,63
"4",4,0,11,11,0,0,1,1,11
"5",5,17,1,15,3,0,0.895061728395062,0.722222222222222,18
"6",6,17,22,14,6,19,0.508218277449047,0.389875082182775,39
"7",7,35,6,14,5,22,0.750148720999405,0.419393218322427,41
"8",8,19,4,13,8,2,0.712665406427221,0.448015122873346,23
"9",9,182,47,171,37,21,0.673766709254209,0.592113041322629,229
