"","clusterID","少年shǎo_nián","青少年jīnɡ_shǎo_nián","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,22,43,20,28,17,0.552189349112426,0.348639053254438,65
"2",2,25,10,7,24,4,0.591836734693878,0.523265306122449,35
"3",3,14,17,9,7,15,0.50468262226847,0.369406867845994,31
"4",4,56,1,30,8,19,0.965527854724531,0.407817790089258,57
"5",5,19,144,52,69,42,0.794045692348225,0.347359704919267,163
"6",6,1,20,4,12,5,0.909297052154195,0.419501133786848,21
"7",7,2,13,7,5,3,0.768888888888889,0.368888888888889,15
"8",8,15,0,0,1,14,1,0.875555555555556,15
"9",9,44,54,42,21,35,0.505206164098292,0.357142857142857,98
