"","clusterID","路线lù_xiàn","轨道ɡuǐ_dǎo","道路dǎo_lù","途径tú_jìnɡ","路途lù_tú","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,5,21,0,0,7,17,3,0.6298,0.8854,27
"2",2,6,0,10,1,0,3,5,9,0.8464,1.0027,17
"3",3,1,26,0,0,0,9,15,3,0.1584,0.9369,27
"4",4,12,0,0,0,0,0,0,12,0,0,12
"5",5,34,18,103,2,1,64,63,31,0.9443,1.0522,158
"6",6,14,0,18,0,1,4,15,14,0.8003,0.9779,33
"7",7,0,0,0,24,0,5,15,4,0,0.9192,24
"8",8,3,2,13,22,0,7,24,9,1.0381,0.9471,40
"9",9,13,10,17,36,0,11,57,8,1.2578,0.7325,76
"10",10,0,2,7,0,0,1,4,4,0.5297,0.965,9
"11",11,19,2,35,18,3,32,16,29,1.2647,1.0592,77
