"","clusterID","路线lù_xiàn","轨道ɡuǐ_dǎo","道路dǎo_lù","途径tú_jìnɡ","路途lù_tú","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,5,21,0,0,7,17,3,0.640603566529492,0.47599451303155,27
"2",2,6,0,10,1,0,3,5,9,0.474048442906574,0.397923875432526,17
"3",3,1,26,0,0,0,9,15,3,0.928669410150891,0.432098765432099,27
"4",4,12,0,0,0,0,0,0,12,1,1,12
"5",5,34,18,103,2,1,64,63,31,0.484457618971319,0.361560647332158,158
"6",6,14,0,18,0,1,4,15,14,0.47842056932966,0.401285583103765,33
"7",7,0,0,0,24,0,5,15,4,1,0.461805555555556,24
"8",8,3,2,13,22,0,7,24,9,0.41625,0.44125,40
"9",9,13,10,17,36,0,11,57,8,0.320983379501385,0.594529085872576,76
"10",10,0,2,7,0,0,1,4,4,0.654320987654321,0.407407407407407,9
"11",11,19,2,35,18,3,32,16,29,0.324337999662675,0.357733175914994,77
